exerciseId,text,imageUrl,audioUrl,isCorrect,order,matchKey
168,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,TRUE,0,\N
168,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,FALSE,1,\N
168,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,FALSE,2,\N
168,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,FALSE,3,\N
169,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,FALSE,0,\N
169,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,TRUE,1,\N
169,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,FALSE,2,\N
169,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,FALSE,3,\N
170,Bike,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,TRUE,0,\N
170,Book,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,FALSE,1,\N
170,Ball,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,FALSE,2,\N
170,Bill,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,FALSE,3,\N
171,Bike,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,FALSE,0,\N
171,Book,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,TRUE,1,\N
171,Ball,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,FALSE,2,\N
171,Bill,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,TRUE,3,\N
172,Bike,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,FALSE,0,\N
172,Book,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,FALSE,1,\N
172,Ball,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,FALSE,2,\N
172,Bill,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,FALSE,3,\N
173,Bike,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756984451/u1-bike_r7fhv0.png,\N,FALSE,0,\N
173,Book,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982895/u1-book_r1dbv3.png,\N,FALSE,1,\N
173,Ball,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982893/u1-ball_u3ospz.png,\N,TRUE,2,\N
173,Bill,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1756982894/u1-bill_etvauh.png,\N,FALSE,3,\N
174,A,\N,\N,FALSE,0,\N
174,B,\N,\N,TRUE,1,\N
174,C,\N,\N,FALSE,3,\N
174,D,\N,\N,FALSE,2,\N
175,A,\N,\N,FALSE,0,\N
175,B,\N,\N,TRUE,1,\N
175,C,\N,\N,FALSE,3,\N
175,D,\N,\N,FALSE,2,\N
176,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1757927801/g1-u1-hiBill_fikeyr.jpg,\N,TRUE,0,165
176,\N,https://res.cloudinary.com/dz1x6r3cl/image/upload/v1757927801/g1-u1-byeBill_yyfbqp.jpg,\N,FALSE,1,166
